item-name,price,brand,rating,number of reviews
Men's Air Force 1'07 Shoes Basketball,$97.99,Nike,4.6,10367
Dunk Low Mens Sneakers,$84.95,Nike,4.6,2692
Men's Infinity G Next Nature Sneaker,$75.00,Nike,5.0,1
Men's Court Vision Low Sneaker,$74.99,Nike,4.0,86
Air Huarache Mens Shoes,$133.68,Nike,4.3,218
Men's Running Shoe,$72.33,Nike,4.5,760
Men's Killshot 2 Sneaker,$75.98,Nike,4.2,40
Men's Basketball Shoes,$129.95,Nike,4.6,8764
Men's Ebernon Low Running Shoe,$75.66,Nike,4.4,1664
Men's Low-Top Sneaker,$159.00,Nike,4.4,6798
Men's Style#: 942836-002,$72.00,Nike,4.4,176
Men's Running/Jogging Shoe,$71.38,Nike,4.5,70
Men's Fresh Foam Roav V1 Classic Sneaker,$59.95,New Balance,4.5,9619
Metcon 9 Men's Workout Shoes,$108.90,Nike,4.5,75
Men's Low-Top Sneaker,,Nike,4.5,1901
Flex Control 4 Men's Training Shoes,,Nike,4.5,690
Men's Running Low,$80.00,Nike,4.3,104
"Air Force 1 '07 LV8 Men's Shoes (HV5752-410, Midnight Navy/Light Crimson/University Gold/Blue Void)",$132.95,Nike,4.8,11
Men's Air Max Shoes,$159.95,Nike,4.5,179
"Men's Sneaker, Racer Blue White Black Anthracite, 13",$85.00,Nike,4.7,4
Men's Sneaker,$84.00,Nike,4.6,29
Men's Trainers by Running Shoe,$90.00,Nike,4.2,2218
"Ja 2 Basketball Shoes (FD7328-001, Black/Light Smoke Grey/Light Lemon Twist/Phantom)",$84.32,Nike,2.5,2
Men's Running Shoe,$63.65,Nike,4.3,1313
"Men's Low-top Sneakers, 0",$101.20,Nike,4.6,120
Men's Air Monarch IV Cross Trainer,,Nike,4.4,1343
Men's Air Max Excee Shoes Sneaker,,Nike,4.4,704
Men's Fitness Shoes,,Nike,4.2,1717
Men's Flex Control TR3 Sneaker,,Nike,4.5,6807
Pegasus 41 Men's Road Running Shoes,,Nike,4.6,112
Men's Sneaker,,Nike,4.6,7514
"Air Max 90 Men's Shoes (DM0029-011, Light Bone/Neutral Olive/College Grey/Cave Stone)",,Nike,4.0,14
Women's Sneaker,,Nike,4.6,7473
Men's Sneaker Shoes,$93.99,Nike,4.4,1940
"Men's Sneaker, Racer Blue White Black Anthracite, 11",$74.93,Nike,4.5,15
KD Trey 5 X EP Men's Basketball Shoes Black/White,$70.32,Nike,4.5,291
Men's Sneaker Three Quarters Tall,$64.99,Nike,4.6,81
"Men's Running Shoes, 10.5 AU",,Nike,4.5,2462
Men's Formation Gymnastics Shoe,,Nike,4.4,29687
"Dunk Low Retro SE Men's Shoes (HQ3640-790, Wheat/Sanddrift/Celestial Gold/Burnt Sunrise)",,Nike,4.2,15
Mens Free Rn 2018 Running Shoe,$65.42,Nike,4.5,6658
Men's Cortez Sneakers,,Nike,4.8,105
Men's Running Low,,Nike,4.2,48
Men’s Revel 7 Neutral Running Shoe,,Brooks,4.5,749
Men's Cortez Sneakers,,Nike,4.6,51
Men's Low-Top Sneakers Basketball Shoes,$60.15,Nike,4.4,4851
"Lebron XXII Crown Jewel Basketball Shoes (FZ1094-101, White/Medium Ash/Hot Lava/Volt Glow)",$89.99,"Lebron XXII Crown Jewel Basketball Shoes (FZ1094-101, White/Medium Ash/Hot Lava/Volt Glow)",4.6,7
React SFB Carbon Dark Stucco/Black/Rattan/Total Orange Men's Elite Outdoor Shoe US,$119.95,Nike,3.9,134
